Population,rec_time,site,lab_time,time_since_min,min_t,sample_t,num_q,height,height,height,height,height,height,height,height,height,height,height,height
7,1100,4,8,9,15,20,6,8.8,9,17.32101448,19.91350796,20.52980417,20.78549511,,,,,,
8,1100,4,8,9,15,20,8,9.6,9.6,9.6,9.5,9.2,18.85163073,20.34789799,17.55688723,,,,
9,1100,1,28,9,15,20,6,9.2,20.89770513,18.07610896,19.26590192,19.95038466,19.84700881,,,,,,
10,1100,2,22,9,15,20,4,9.6,20.35142982,18.39283237,17.2847551,,,,,,,,
1,1200,3,8,10,15,20,4,18.13414146,17.26587731,19.53846606,17.56394832,,,,,,,,
2,1200,1,28,10,15,20,6,18.35543942,17.43476277,20.56755145,18.9198225,20.42067951,19.7729289,,,,,,
3,1200,3,8,10,15,20,5,8.7,19.7637543,17.26258576,19.65069675,19.46276665,,,,,,,
4,1200,3,8,10,15,20,4,18.89026287,17.48986462,17.72180963,18.97910147,,,,,,,,
5,1200,3,8,10,15,20,6,19.1462529,17.53234176,19.05546645,20.29615737,19.30492464,19.67316516,,,,,,
6,1200,4,8,10,15,20,8,6.9,8.5,19.380555,18.29104533,20.45291917,18.77370282,19.67147576,19.5798496,,,,
7,1200,4,8,10,15,20,6,8.7,8.8,20.119541,20.58629676,17.29644429,18.68995369,,,,,,
8,1200,4,8,10,15,20,7,9.3,9.2,9.3,9.5,20.0088272,19.94154149,20.53349135,,,,,
9,1200,1,28,10,15,20,7,6.9,18.7235351,17.73984805,18.07447054,20.85964686,19.75261235,17.83195203,,,,,
10,1200,2,22,10,15,20,4,9.2,9.4,17.2322461,19.76321552,,,,,,,,
1,1300,3,8,11,15,22.5,4,18.88224227,17.2982424,17.00818649,19.09389437,,,,,,,,
2,1300,1,28,11,15,22.5,6,18.29616513,18.2154705,17.01908171,17.67672024,18.90993236,18.39644471,,,,,,
3,1300,3,8,11,15,22.5,4,5.7,19.27158098,19.17428197,20.64363781,,,,,,,,
4,1300,3,8,11,15,22.5,5,18.6452484,20.67767736,20.95311571,18.7095705,18.48717109,,,,,,,
5,1300,3,8,11,15,22.5,6,20.76020988,20.79183169,17.31337784,17.73828473,20.17998141,20.52488645,,,,,,
6,1300,4,8,11,15,22.5,7,9.6,17.42373941,18.92886875,18.87596233,17.78772564,19.51300147,19.8416996,19.41849914,,,,
7,1300,4,8,11,15,22.5,5,8.7,18.50347023,19.82365942,18.48802847,18.08635249,,,,,,,
8,1300,4,8,11,15,22.5,7,9.4,18.53550886,19.05931449,19.21295878,20.33070223,19.49036022,20.67670847,19.63633004,,,,
9,1300,1,28,11,15,22.5,6,9.7,19.22149768,17.52980285,18.92787477,18.61296562,20.92167671,,,,,,
10,1300,2,22,11,15,22.5,4,9.3,19.53521106,17.8352091,18.67454803,,,,,,,,
1,1400,3,8,12,15,22.5,4,19.02399844,18.22143551,20.21902733,18.83535626,,,,,,,,
2,1400,1,28,12,15,22.5,7,19.91212348,19.17019643,17.8765408,17.2149463,18.40122957,18.13265939,18.51629658,,,,,
3,1400,3,8,12,15,22.5,4,5.8,18.72165019,19.52853546,17.20350605,,,,,,,,
4,1400,3,8,12,15,22.5,3,20.73125856,18.06580709,17.67817367,,,,,,,,,
5,1400,3,8,12,15,22.5,6,19.6667746,20.61938743,18.65494328,18.61387667,18.8992124,17.10658042,,,,,,
6,1400,4,8,12,15,22.5,5,9.1,19.39911262,19.01711589,18.56199941,20.838065,17.02278501,,,,,,
7,1400,4,8,12,15,22.5,5,12.3,18.54951495,17.98596583,20.1461756,19.78641965,,,,,,,
8,1400,4,8,12,15,22.5,6,9.7,19.05664585,20.66927512,18.90992502,20.12363616,19.22578775,18.10310559,,,,,
9,1400,1,28,12,15,22.5,8,9.7,17.0364938,19.49714527,17.5478847,19.00001459,18.54662339,19.95046977,19.39671306,,,,
10,1400,2,22,12,15,22.5,4,9.3,19.96761341,18.09408611,18.4027225,,,,,,,,
1,1500,3,8,13,15,25,5,18.98089424,17.7262832,18.66691962,20.63787048,19.99425005,,,,,,,
2,1500,1,28,13,15,25,6,18.34152997,19.92517974,19.51074852,17.79731792,18.47119106,17.12407995,,,,,,
3,1500,3,8,13,15,25,4,5.7,18.67420461,20.73342758,19.5432804,,,,,,,,
4,1500,3,8,13,15,25,3,19.2813251,19.1641795,18.14855222,,,,,,,,,
5,1500,3,8,13,15,25,6,18.18235709,18.12071207,19.42630872,18.97260924,19.29481718,19.94394148,,,,,,
6,1500,4,8,13,15,25,8,9.9,20.84322317,18.36768019,17.35591656,18.35883649,20.94415117,17.59848357,18.14516848,20.47665108,,,
7,1500,4,8,13,15,25,5,8.7,17.42749189,17.1006394,19.08506313,19.29474008,,,,,,,
8,1500,4,8,13,15,25,9,8.5,20.88028856,17.35960305,20.94614584,17.83205774,19.77939892,17.25766635,17.15316239,17.17626351,19.62539189,,
9,1500,1,28,13,15,25,6,9.7,20.82079775,20.04142805,19.95396485,18.10852806,17.44963669,,,,,,
10,1500,2,22,13,15,25,5,9.3,18.19370484,20.76665416,18.3652405,18.93904803,,,,,,,
1,1000,3,8,8,17.5,17.5,3,18.48790386,20.4755572,20.19359758,,,,,,,,,
2,1000,1,28,8,17.5,17.5,4,18.49725109,18.43449369,17.577871,20.18158333,,,,,,,,
3,1000,3,8,8,17.5,17.5,4,7.8,12.5,20.26513246,19.32353879,,,,,,,,
4,1000,3,8,8,17.5,17.5,3,19.27325729,18.45879433,17.45032884,,,,,,,,,
5,1000,3,8,8,17.5,17.5,6,9.7,20.50575411,18.13185788,18.24242704,19.6412191,19.89550965,,,,,,
6,1000,4,8,8,17.5,17.5,5,20.35328359,17.42188909,19.61450081,20.19070543,17.93763124,,,,,,,
7,1000,4,8,8,17.5,17.5,6,8.9,9,20.74529428,18.38025087,19.84159609,20.650348,,,,,,
8,1000,4,8,8,17.5,17.5,5,9.2,15.8,20.2857604,19.78255433,17.87253577,,,,,,,
9,1000,1,28,8,17.5,17.5,5,17.15578552,18.32688502,19.99597642,19.98384019,17.37699821,,,,,,,
10,1000,2,22,8,17.5,17.5,4,8.7,17.83035199,19.97085862,17.11658632,,,,,,,,
1,1100,3,8,9,17.5,20,3,18.4534804,20.61655137,19.69927151,,,,,,,,,
2,1100,1,28,9,17.5,20,4,17.50256902,18.72165831,19.26761113,19.55946973,,,,,,,,
3,1100,3,8,9,17.5,20,4,5.6,13.6,20.08605754,20.66479202,,,,,,,,
4,1100,3,8,9,17.5,20,3,19.21384108,20.30047635,19.36130037,,,,,,,,,
5,1100,3,8,9,17.5,20,5,9.2,20.73799271,20.67992318,17.65156183,19.09787936,,,,,,,
6,1100,4,8,9,17.5,20,6,17.79619545,17.02407086,18.6083356,18.01384636,18.92212164,17.66530639,,,,,,
7,1100,4,8,9,17.5,20,5,20.769834,18.10526916,19.58690904,18.31732423,17.383472,,,,,,,
8,1100,4,8,9,17.5,20,4,9.4,9.5,20.55621653,20.1123498,,,,,,,,
9,1100,1,28,9,17.5,20,6,19.54218998,18.06697757,19.52375364,19.28174232,17.49073121,17.6393537,,,,,,
10,1100,2,22,9,17.5,20,5,9.9,20.43715986,17.05719798,20.82073027,17.44130148,,,,,,,
1,1200,3,8,10,17.5,20,2,19.07479914,19.33784825,,,,,,,,,,
2,1200,1,28,10,17.5,20,4,19.72488608,18.24187914,19.9430107,17.55346976,,,,,,,,
3,1200,3,8,10,17.5,20,4,6.7,14.9,17.99243696,19.52932641,,,,,,,,
4,1200,3,8,10,17.5,20,3,19.26801526,20.64576787,17.20155751,,,,,,,,,
5,1200,3,8,10,17.5,20,6,9.2,18.0009877,20.80019087,19.09318297,18.97975077,20.03107121,,,,,,
6,1200,4,8,10,17.5,20,5,14.7,20.61673813,19.3023452,17.76100208,20.57323678,,,,,,,
7,1200,4,8,10,17.5,20,6,9.6,18.79770221,17.71152847,17.57397181,20.64280266,20.07400823,,,,,,
8,1200,4,8,10,17.5,20,4,8.9,17.19713805,17.83798568,18.31863022,,,,,,,,
9,1200,1,28,10,17.5,20,6,17.81415373,19.1714659,18.17830437,19.27321032,17.57800462,19.85368116,,,,,,
10,1200,2,22,10,17.5,20,3,8.7,20.30973077,18.22402284,,,,,,,,,
1,1300,3,8,11,17.5,22.5,2,20.21475673,19.8335934,,,,,,,,,,
2,1300,1,28,11,17.5,22.5,3,20.87340091,18.99022142,20.70152298,,,,,,,,,
3,1300,3,8,11,17.5,22.5,3,7.8,18.71834618,19.55829501,,,,,,,,,
4,1300,3,8,11,17.5,22.5,2,19.21821848,20.96410235,,,,,,,,,,
5,1300,3,8,11,17.5,22.5,6,8.8,20.25992261,20.15438228,20.57773183,20.26595259,19.98641574,,,,,,
6,1300,4,8,11,17.5,22.5,5,15.6,19.58353896,18.69638193,18.45852044,19.8180263,,,,,,,
7,1300,4,8,11,17.5,22.5,4,9.7,20.89424435,19.01503831,17.05854799,,,,,,,,
8,1300,4,8,11,17.5,22.5,6,9.1,9.3,18.93814916,19.1659809,18.51093067,19.698382,,,,,,
9,1300,1,28,11,17.5,22.5,7,9.9,20.36782956,19.30466326,20.82030382,19.95291757,17.54485698,19.55906492,,,,,
10,1300,2,22,11,17.5,22.5,4,7.6,17.66120051,17.27817709,19.84826036,,,,,,,,
1,1400,3,8,12,17.5,22.5,2,9.4,18.97972315,,,,,,,,,,
2,1400,1,28,12,17.5,22.5,3,19.75506481,19.33506181,18.47816235,,,,,,,,,
3,1400,3,8,12,17.5,22.5,3,13.3,17.57203087,19.71021596,,,,,,,,,
4,1400,3,8,12,17.5,22.5,2,18.7157417,17.1896206,,,,,,,,,,
5,1400,3,8,12,17.5,22.5,6,8.1,20.98157561,17.72031766,20.59881345,19.9045631,19.3513508,,,,,,
6,1400,4,8,12,17.5,22.5,5,7.6,20.49590748,20.29678532,18.76448324,17.64331045,,,,,,,
7,1400,4,8,12,17.5,22.5,4,9.8,20.55328914,19.49035319,17.70640369,,,,,,,,
8,1400,4,8,12,17.5,22.5,6,10.3,13.6,19.65564176,20.43971395,18.3528774,18.5795638,,,,,,
9,1400,1,28,12,17.5,22.5,6,7.7,18.17452284,18.9807733,17.6894266,18.01906669,17.09242189,,,,,,
10,1400,2,22,12,17.5,22.5,3,9,20.62473198,19.9393007,,,,,,,,,
1,1500,3,8,13,17.5,25,1,17.43328982,,,,,,,,,,,
2,1500,1,28,13,17.5,25,4,19.47823324,19.62756089,19.26254561,19.39675548,,,,,,,,
3,1500,3,8,13,17.5,25,3,17.57818672,20.15745563,18.68856452,,,,,,,,,
4,1500,3,8,13,17.5,25,2,17.10607523,19.06254843,,,,,,,,,,
5,1500,3,8,13,17.5,25,7,19.86817245,17.09768027,17.77285377,19.55864675,20.96420297,17.60030874,19.03437642,,,,,
6,1500,4,8,13,17.5,25,4,18.53999218,19.8906909,17.19151933,20.58852108,,,,,,,,
7,1500,4,8,13,17.5,25,3,20.59897925,19.92225748,20.97073215,,,,,,,,,
8,1500,4,8,13,17.5,25,8,17.21209218,17.8122867,20.40643467,18.74645807,20.38450343,20.56211163,18.33608921,17.33265254,,,,
9,1500,1,28,13,17.5,25,4,17.75386619,18.03629453,17.01042277,20.19917795,,,,,,,,
10,1500,2,22,13,17.5,25,5,19.18887859,19.63230538,18.66492622,20.78138581,17.80038709,,,,,,,
