pop,numb_q,numb_tick,perc_q,rec_time,site,lab_time,time_since_min,min_t,sample_t,mean_nt
6,5,15,0.333333333,1400,4,8,12,7.5,22.5,11.5
7,8,15,0.533333333,1400,4,8,12,7.5,22.5,11.5
8,6,15,0.4,1400,4,8,12,7.5,22.5,11.5
9,5,15,0.333333333,1400,1,28,12,7.5,22.5,11.5
10,4,15,0.266666667,1400,2,22,12,7.5,22.5,11.5
1,5,15,0.333333333,1500,3,8,13,7.5,22.5,11.5
2,6,15,0.4,1500,1,28,13,7.5,22.5,11.5
3,9,15,0.6,1500,3,8,13,7.5,22.5,11.5
4,5,15,0.333333333,1500,3,8,13,7.5,22.5,11.5
5,3,15,0.2,1500,3,8,13,7.5,22.5,11.5
6,4,15,0.266666667,1500,4,8,13,7.5,22.5,11.5
7,8,15,0.533333333,1500,4,8,13,7.5,22.5,11.5
8,6,15,0.4,1500,4,8,13,7.5,22.5,11.5
9,8,15,0.533333333,1500,1,28,13,7.5,22.5,11.5
10,8,15,0.533333333,1500,2,22,13,7.5,22.5,11.5
1,6,15,0.4,1600,3,8,FALSE,7.5,25,11.5
2,7,15,0.466666667,1600,1,28,FALSE,7.5,25,11.5
3,7,15,0.466666667,1600,3,8,FALSE,7.5,25,11.5
4,5,15,0.333333333,1600,3,8,FALSE,7.5,25,11.5
5,5,15,0.333333333,1600,3,8,FALSE,7.5,25,11.5
6,4,15,0.266666667,1600,4,8,FALSE,7.5,25,11.5
7,6,15,0.4,1600,4,8,FALSE,7.5,25,11.5
8,7,15,0.466666667,1600,4,8,FALSE,7.5,25,11.5
9,7,15,0.466666667,1600,1,28,FALSE,7.5,25,11.5
10,5,15,0.333333333,1600,2,22,FALSE,7.5,25,11.5
1,7,15,0.466666667,1000,3,8,8,10,17.5,13
2,6,15,0.4,1000,1,28,8,10,17.5,13
3,12,15,0.8,1000,3,8,8,10,17.5,13
4,10,15,0.666666667,1000,3,8,8,10,17.5,13
5,8,15,0.533333333,1000,3,8,8,10,17.5,13
6,6,15,0.4,1000,4,8,8,10,17.5,13
7,6,15,0.4,1000,4,8,8,10,17.5,13
8,6,15,0.4,1000,4,8,8,10,17.5,13
9,9,15,0.6,1000,1,28,8,10,17.5,13
10,9,15,0.6,1000,2,22,8,10,17.5,13
1,7,15,0.466666667,1100,3,8,9,10,20,13
2,6,15,0.4,1100,1,28,9,10,20,13
3,10,15,0.666666667,1100,3,8,9,10,20,13
4,7,15,0.466666667,1100,3,8,9,10,20,13
5,6,15,0.4,1100,3,8,9,10,20,13
6,6,15,0.4,1100,4,8,9,10,20,13
7,5,15,0.333333333,1100,4,8,9,10,20,13
8,7,15,0.466666667,1100,4,8,9,10,20,13
9,8,15,0.533333333,1100,1,28,9,10,20,13
10,6,15,0.4,1100,2,22,9,10,20,13
1,7,15,0.466666667,1200,3,8,10,10,20,13
